"","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"442",15,"Pullup Jump shot",390,240
"443",15,"Putback Layup Shot",1,0
"444",15,"Running Bank shot",7,3
"445",15,"Running Jump Shot",52,23
"446",15,"Step Back Jump shot",205,105
"447",15,"Turnaround Bank shot",5,2
"448",15,"Turnaround Fadeaway shot",84,49
"449",15,"Turnaround Hook Shot",3,2
"450",15,"Turnaround Jump Shot",179,75
"451",16,"Driving Jump shot",9,4
"452",16,"Fadeaway Bank shot",3,2
"453",16,"Fadeaway Jump Shot",222,121
"454",16,"Floating Jump shot",31,20
"455",16,"Hook Shot",1,0
"456",16,"Jump Bank Shot",48,31
"457",16,"Jump Shot",4380,1576
"458",16,"Pullup Bank shot",5,1
"459",16,"Pullup Jump shot",541,319
"460",16,"Running Bank shot",2,1
"461",16,"Running Jump Shot",33,14
"462",16,"Step Back Jump shot",272,133
"463",16,"Turnaround Bank shot",3,2
"464",16,"Turnaround Fadeaway shot",76,29
"465",16,"Turnaround Hook Shot",1,0
"466",16,"Turnaround Jump Shot",117,51
"467",17,"Driving Jump shot",4,3
"468",17,"Fadeaway Bank shot",2,2
"469",17,"Fadeaway Jump Shot",192,102
"470",17,"Floating Jump shot",15,8
"471",17,"Jump Bank Shot",43,28
"472",17,"Jump Shot",5052,1796
"473",17,"Layup Shot",1,0
"474",17,"Pullup Bank shot",9,4
"475",17,"Pullup Jump shot",622,374
"476",17,"Running Bank shot",3,1
"477",17,"Running Jump Shot",15,6
"478",17,"Step Back Jump shot",305,164
"479",17,"Turnaround Bank shot",2,1
"480",17,"Turnaround Fadeaway shot",51,25
"481",17,"Turnaround Jump Shot",85,47
"482",18,"Driving Bank shot",1,1
"483",18,"Driving Jump shot",3,3
"484",18,"Fadeaway Jump Shot",154,72
"485",18,"Floating Jump shot",17,9
"486",18,"Jump Bank Shot",25,20
"487",18,"Jump Shot",5403,2043
"488",18,"Pullup Bank shot",7,4
"489",18,"Pullup Jump shot",675,382
"490",18,"Running Bank shot",1,1
"491",18,"Running Jump Shot",15,9
"492",18,"Step Back Jump shot",245,116
"493",18,"Tip Shot",1,0
"494",18,"Turnaround Bank shot",1,1
"495",18,"Turnaround Fadeaway shot",30,18
"496",18,"Turnaround Jump Shot",47,19
